iter num.topics likelihood alpha gamma
371 2 -3057 0.0401726 0.241844
372 2 -3058.14 0.0344087 0.224345
373 2 -3043.84 0.0246278 0.124099
374 2 -3047.65 0.0379657 0.149426
375 2 -3080.86 0.0477195 0.304536
376 2 -3077.45 0.0435493 0.226769
377 2 -3086.16 0.0388315 0.180921
378 2 -3088.84 0.0514332 0.49303
379 2 -3088.61 0.0537902 0.207559
380 2 -3113.01 0.05352 0.119897
381 2 -3149.96 0.0712264 0.656469
382 2 -3119.99 0.0700918 1.51843
383 2 -3126.61 0.0811537 0.180522
384 2 -3131.08 0.0665312 0.252236
385 2 -3152.78 0.0753018 0.200207
386 2 -3148.76 0.0805518 0.583209
387 2 -3157.35 0.088682 0.394058
388 2 -3247.75 0.0933875 0.0741429
389 2 -3199.55 0.093367 0.0455794
390 2 -3211.77 0.0812889 0.121953
391 2 -3207.15 0.103808 0.0550982
392 2 -3219.92 0.123275 0.183459
393 2 -3223.51 0.111561 0.36155
394 2 -3205.25 0.132259 0.246561
395 2 -3215.48 0.154818 0.682624
396 2 -3317.18 0.156257 0.308831
397 2 -3242.28 0.140182 0.0485109
398 2 -3262.29 0.135521 0.242041
399 2 -3310.23 0.174615 0.481198
400 2 -3358.58 0.222523 0.279975
401 2 -3346.85 0.22451 0.0667029
402 2 -3317.91 0.187002 0.319613
403 2 -3257.65 0.178355 0.295895
404 2 -3288.99 0.152987 0.453993
405 2 -3309.3 0.164679 0.260513
406 2 -3303.68 0.160421 0.0471577
407 2 -3297.57 0.118313 0.226765
408 2 -3239.8 0.0971458 0.678782
409 2 -3209.61 0.0699207 0.302624
410 2 -3205.27 0.0933727 0.130792
411 2 -3193.96 0.105429 0.486756
412 2 -3203.33 0.0853968 0.095285
413 2 -3174.33 0.0801493 0.371423
414 2 -3174.11 0.0676826 0.252046
415 2 -3149.56 0.0913933 0.171252
416 2 -3146.42 0.0700467 0.153195
417 2 -3145.65 0.071377 0.127697
418 2 -3125.05 0.0510716 0.256269
419 2 -3116.11 0.0490616 0.427445
420 2 -3119.2 0.0496923 0.029484
421 2 -3114.42 0.0627772 0.183537
422 2 -3142.32 0.0689105 0.529213
423 2 -3128.41 0.0527741 0.231191
424 2 -3136.01 0.0671611 0.0929754
425 2 -3106.22 0.0527305 0.283933
426 2 -3090.29 0.0345577 0.0741329
427 2 -3106.26 0.0295361 0.264349
428 2 -3091.25 0.042589 0.0673716
429 2 -3082.34 0.0279191 0.165412
430 2 -3070.79 0.0317936 0.922209
431 2 -3085.7 0.043735 0.550319
432 2 -3099.13 0.0457515 0.316171
433 2 -3100.37 0.040784 0.748933
434 2 -3083.84 0.0537899 0.236731
435 2 -3094.64 0.040878 0.256956
436 2 -3074.19 0.0316555 0.206017
437 2 -3056.47 0.0303544 0.371145
438 2 -3027.5 0.012739 0.46493
439 2 -3009.47 0.0112971 0.173634
440 2 -3014.52 0.00853039 0.377335
441 2 -3008.7 0.0100308 0.140501
442 2 -3011.67 0.00564834 0.479798
443 2 -3020.53 0.0141426 0.290896
444 2 -3013.65 0.0249429 0.0767924
445 2 -3050.09 0.0275663 0.37846
446 2 -3032.37 0.0171233 0.390476
447 2 -3019.81 0.00844092 0.162842
448 2 -3032.7 0.0260168 0.369343
449 2 -3051.21 0.0340369 0.117054
450 2 -3053.03 0.0228148 0.21564
451 2 -3061.45 0.0298043 0.362689
452 2 -3077.56 0.0439284 0.452995
453 2 -3087.39 0.0354877 0.164877
454 2 -3094.05 0.0396522 0.682303
455 2 -3084.72 0.0586573 0.1448
456 2 -3121.59 0.076833 0.0490483
457 2 -3096.5 0.0650068 0.395789
458 2 -3094.84 0.0318237 0.228484
459 2 -3066.55 0.0253046 0.0770355
460 2 -3045.42 0.0276229 0.155096
461 2 -3058.02 0.0373824 0.0714797
462 2 -3070.2 0.0385491 0.222307
463 2 -3079.87 0.027342 0.0395684
464 2 -3056.7 0.03393 0.0715576
465 2 -3060.36 0.0394297 0.16163
466 2 -3095.22 0.048957 0.411767
467 2 -3111.28 0.0258682 0.124977
468 2 -3099.12 0.0343817 0.463052
469 2 -3082.05 0.0327933 0.337948
470 2 -3064.73 0.0290537 0.156803
471 2 -3054.18 0.0453046 0.101933
472 2 -3050.8 0.0380997 0.267272
473 2 -3052.74 0.0215479 0.25101
474 2 -3051.22 0.0148271 0.135854
475 2 -3026.3 0.0188543 0.0801831
476 2 -3024.3 0.0217391 0.512024
477 2 -3019.64 0.0170954 0.239661
478 2 -3020.8 0.0198378 0.368174
479 2 -3028.69 0.0124822 0.95811
480 2 -3013.02 0.0199253 0.212673
481 2 -3032.97 0.032648 0.22897
482 2 -3060.47 0.0268171 0.36938
483 2 -3044.2 0.019558 0.168451
484 2 -3025.19 0.0226608 0.488085
485 2 -3055.6 0.0171166 0.471899
486 2 -3060.42 0.0150896 0.479694
487 2 -3060.77 0.0361884 0.550464
488 2 -3073.78 0.0312241 0.288066
489 2 -3052.25 0.0112473 0.535654
490 2 -3042.23 0.0185853 0.43128
491 2 -3050.25 0.0179924 0.182497
492 2 -3077.95 0.0503846 0.130432
493 2 -3114.17 0.0661913 0.683362
494 2 -3135.81 0.0544647 0.428942
495 2 -3142.09 0.0605219 0.644082
496 2 -3136.23 0.0528948 0.416029
497 2 -3110.94 0.0383076 0.553859
498 2 -3075.22 0.0514836 0.716656
499 2 -3082.83 0.0316995 0.317326
500 2 -3109.6 0.0575832 0.437031
501 2 -3154.03 0.0636807 0.42979
502 2 -3143.13 0.0525588 0.347342
503 2 -3155.55 0.0506025 0.621465
504 2 -3103.22 0.0471823 0.191895
505 2 -3116.49 0.0327369 0.27882
506 2 -3106.04 0.0433472 0.253012
507 2 -3128.97 0.0556034 0.652867
508 2 -3123.13 0.0633479 0.86462
509 2 -3149.48 0.0601262 1.36893
510 2 -3132.29 0.0757206 1.41195
511 2 -3140.7 0.0662139 0.605286
512 2 -3116.82 0.0609588 0.446391
513 2 -3121.69 0.0531004 0.262094
514 2 -3110.98 0.0791675 0.20394
515 2 -3118.96 0.069004 0.457913
516 2 -3118.06 0.0635055 0.376066
517 2 -3121.8 0.0652748 0.07158
518 2 -3153.94 0.0880796 0.44432
519 2 -3164.22 0.0918297 0.241781
520 3 -3196.69 0.0741311 0.179472
521 3 -3165.33 0.0818287 0.74706
522 3 -3186.24 0.103033 0.245376
523 3 -3236.94 0.112985 0.545437
524 2 -3235.81 0.132117 0.462727
525 2 -3212.88 0.122632 0.498926
526 2 -3228.55 0.100309 0.627685
527 2 -3214.7 0.123173 0.120842
528 2 -3264.08 0.132908 0.479628
529 2 -3286.49 0.147831 0.521957
530 2 -3315.14 0.155071 0.0595493
531 2 -3262.74 0.136402 0.236819
532 2 -3216.78 0.119803 0.189072
533 2 -3154.07 0.0684131 0.0413522
534 2 -3134.6 0.0617452 0.787546
535 2 -3123.34 0.0597136 0.346348
536 2 -3161.91 0.0586409 0.0716413
537 2 -3104.52 0.049966 0.25317
538 2 -3078.83 0.0516161 0.241149
539 2 -3050.85 0.0362808 0.144576
540 2 -3066.4 0.026527 0.747679
541 2 -3029.28 0.0111923 0.393596
542 2 -3039.31 0.0173516 0.524974
543 2 -3041.72 0.0321406 0.403625
544 2 -3063.14 0.0399034 0.688093
545 2 -3048.38 0.023591 0.21369
546 2 -3031.82 0.0223238 0.445762
547 2 -3062.78 0.0344014 0.201714
548 2 -3084.8 0.0552431 0.622211
549 2 -3113.02 0.0633003 0.26216
550 2 -3095.78 0.0687304 0.124037
551 2 -3073.21 0.0348639 0.240431
552 2 -3065.48 0.0244665 0.186217
553 2 -3061.88 0.0316152 0.907115
554 2 -3061.44 0.0231258 0.148461
555 2 -3037.08 0.0234255 0.492311
556 2 -3038.68 0.0143282 0.3346
557 2 -3022.67 0.00369632 0.305454
558 2 -3003.64 0.00462405 0.12465
559 2 -3002.41 0.00417037 0.67213
560 2 -3010.24 0.01242 0.0976013
561 2 -3033.3 0.0310025 0.00238497
562 2 -3049.2 0.0381289 0.235849
563 2 -3049.49 0.0254604 0.0975659
564 2 -3038.49 0.0210855 0.456735
565 2 -3050.92 0.0299567 0.1279
566 2 -3059.12 0.0394291 0.596037
567 2 -3062.98 0.0297716 0.806208
568 2 -3053.66 0.0309321 0.467547
569 2 -3076.18 0.036204 0.253053
570 2 -3075.78 0.0463733 0.236151
571 2 -3070.62 0.0279818 0.111999
572 2 -3067.22 0.0417264 0.231477
573 2 -3094.89 0.0443378 0.269867
574 2 -3085.19 0.036019 0.333164
575 2 -3094.92 0.0254005 0.520789
576 2 -3095.74 0.0536489 0.171303
577 2 -3124.49 0.0685338 0.0637433
578 2 -3090.05 0.0436037 0.201824
579 2 -3075.49 0.0386837 0.521679
580 2 -3091 0.0610638 0.301866
581 2 -3131.88 0.0604483 0.165728
582 2 -3115.23 0.0466267 0.657467
583 2 -3132.33 0.0655895 0.129202
584 2 -3158.45 0.0782261 0.30581
585 2 -3183.24 0.0920694 0.452272
586 2 -3183.79 0.089528 0.143813
587 2 -3201.38 0.105321 0.324173
588 2 -3196.87 0.114988 0.0837058
589 2 -3169.86 0.0695225 0.0426777
590 2 -3147.88 0.0698533 0.824686
591 2 -3116.15 0.0568131 0.430002
592 2 -3114.71 0.0799861 0.108353
593 2 -3144.01 0.0922706 0.496864
594 2 -3138.68 0.0653441 0.384428
595 2 -3139.42 0.0587034 0.116598
596 2 -3106.58 0.0535019 0.294245
597 2 -3099.87 0.0611494 0.310213
598 2 -3098.54 0.0424557 0.124096
599 2 -3083.96 0.0629706 0.123408
600 2 -3073.52 0.0455506 0.0352159
601 2 -3058.53 0.0263052 0.0238832
602 2 -3053.2 0.0129218 0.268434
603 2 -3059.61 0.0183625 0.490013
604 2 -3049.67 0.0428964 1.06876
605 2 -3080.33 0.0273285 0.141428
606 2 -3083.75 0.0287549 0.103297
607 2 -3070.55 0.0232179 0.270862
608 2 -3028.76 0.0152897 0.790386
609 2 -3038.12 0.0193895 0.271443
610 2 -3034.2 0.0214798 0.0940489
611 2 -3025.8 0.0162452 0.471511
612 2 -3012.81 0.0129285 0.0910599
613 2 -3018.95 0.0068551 0.0799595
614 2 -3018.82 0.0111155 0.302024
615 2 -3001.54 0.00953848 0.240401
616 2 -3019.66 0.0381591 0.325955
617 2 -3019.62 0.0190095 0.0781252
618 2 -3020.56 0.0110687 0.781244
619 2 -3026.11 0.0229001 0.152236
620 2 -3043.3 0.0348219 0.0723788
621 2 -3050.49 0.0225628 0.423427
622 2 -3057.13 0.0189818 0.228237
623 2 -3049.3 0.021932 0.0171137
624 2 -3039.11 0.0243009 0.078452
625 2 -3034.96 0.0220786 0.205929
626 2 -3039 0.0163145 0.489688
627 2 -3014.32 0.00467024 0.387122
628 2 -3003.08 0.00596518 0.304316
629 2 -2998.34 0.0086606 0.564811
630 2 -2995.68 0.00327653 0.497862
631 2 -2997.53 0.00950032 0.125159
632 2 -3001.12 0.0169682 0.450054
633 2 -3018.38 0.010858 0.0900068
634 2 -2988.22 0.00398118 0.235064
635 2 -2988.52 0.00489408 0.379737
636 2 -2978.92 0.00440974 0.442668
637 2 -2989.11 0.00957473 0.257981
638 2 -3002.55 0.00938138 0.0363665
639 2 -2995.82 0.00913431 0.779653
640 2 -3011.62 0.0168209 0.207891
641 2 -3015.34 0.0110865 0.307799
642 2 -3004.78 0.00687465 0.198269
643 2 -2992.66 0.0102901 0.114444
644 2 -3005.35 0.0155263 0.459195
645 2 -3007.9 0.010464 0.0473107
646 2 -3018.07 0.00629527 0.14966
647 2 -3008.79 0.0077842 0.185891
648 2 -3000.59 0.00441352 0.56251
649 2 -2991.91 0.00292091 0.349933
650 2 -2983.89 0.00326795 0.023481
651 2 -2981.43 0.00230124 0.0558069
652 2 -2987.56 0.00215792 0.0975332
653 2 -2993.71 0.00627303 0.249495
654 2 -3001.1 0.00905108 0.452323
655 2 -3020.53 0.0191343 0.168716
656 2 -2995.13 0.00251487 0.181236
657 2 -2977.47 0.00653335 0.209509
658 2 -3005.51 0.00704733 0.668403
659 2 -2998.11 0.00533516 0.0324586
660 2 -2991.29 0.00214938 0.0784221
661 2 -2987.39 0.00408677 0.286677
662 2 -2984.77 0.00281574 0.290454
663 2 -2988.24 0.00285444 0.236828
664 2 -2977.97 0.00179056 0.930871
665 2 -2984.61 0.0106345 0.545295
666 2 -2982.39 0.00622607 0.044211
667 2 -2993.07 0.00517044 0.240727
668 2 -2975.88 0.0024061 0.366538
669 2 -2995.06 0.0126496 0.305768
670 2 -3027.54 0.0122405 0.770459
